ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-02-20,27.382243264025508,4.069518506146789,52.83919696943726,27.382243264025508,27.382243264025508,0.0051100258119566744,0.0051100258119566744,0.0051100258119566744,0.0051100258119566744,0.0051100258119566744,0.0051100258119566744,0.0,0.0,0.0,27.387353289837463
2025-02-21,27.373592742222723,3.119829673432893,52.34599632232351,27.373592742222723,27.373592742222723,0.1731762421437889,0.1731762421437889,0.1731762421437889,0.1731762421437889,0.1731762421437889,0.1731762421437889,0.0,0.0,0.0,27.546768984366512
2025-02-22,27.364942220419938,3.6959593703870244,53.234762235213196,27.364942220419938,27.364942220419938,0.6161066065635644,0.6161066065635644,0.6161066065635644,0.6161066065635644,0.6161066065635644,0.6161066065635644,0.0,0.0,0.0,27.981048826983503
2025-02-24,27.347641176814363,5.550499095205306,53.307216802602646,27.347641176814363,27.347641176814363,2.2856218050125254,2.2856218050125254,2.2856218050125254,2.2856218050125254,2.2856218050125254,2.2856218050125254,0.0,0.0,0.0,29.63326298182689
2025-02-25,27.34872634115615,1.896407995968016,51.1947227068145,27.34872634115615,27.34872634115615,-0.12915785555908568,-0.12915785555908568,-0.12915785555908568,-0.12915785555908568,-0.12915785555908568,-0.12915785555908568,0.0,0.0,0.0,27.219568485597065
2025-02-26,27.349811505497946,1.2161313572953798,50.86339642683704,27.349811505497946,27.349811505497946,-0.6728395551074441,-0.6728395551074441,-0.6728395551074441,-0.6728395551074441,-0.6728395551074441,-0.6728395551074441,0.0,0.0,0.0,26.676971950390502
2025-02-27,27.35089666983974,3.542212099725066,51.29938207593557,27.35089666983974,27.35089666983974,0.005110025798046784,0.005110025798046784,0.005110025798046784,0.005110025798046784,0.005110025798046784,0.005110025798046784,0.0,0.0,0.0,27.356006695637788
2025-02-28,27.352666207644187,2.129680407331678,53.41930269414924,27.352666207644187,27.352666207644187,0.17317624214172309,0.17317624214172309,0.17317624214172309,0.17317624214172309,0.17317624214172309,0.17317624214172309,0.0,0.0,0.0,27.52584244978591
2025-03-01,27.35443574544863,3.4126610523425023,53.63234729675467,27.35443574544863,27.35443574544863,0.6161066065585116,0.6161066065585116,0.6161066065585116,0.6161066065585116,0.6161066065585116,0.6161066065585116,0.0,0.0,0.0,27.97054235200714
2025-03-03,27.35797482105751,4.903587228383025,54.4094988417478,27.35797482105751,27.35797482105751,2.285621805002955,2.285621805002955,2.285621805002955,2.285621805002955,2.285621805002955,2.285621805002955,0.0,0.0,0.0,29.643596626060464
2025-03-04,27.359752194402777,2.4501031694189463,51.53103614324217,27.359752194402777,27.359752194402777,-0.129157855551188,-0.129157855551188,-0.129157855551188,-0.129157855551188,-0.129157855551188,-0.129157855551188,0.0,0.0,0.0,27.23059433885159
